GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CA3,domain,Engine,0,144,2,22,0,40,2,15,0,5
CA3,domain,Order,0,48,0,4,0,9,0,12,0,10
